food_id,disease_id,related
food_0,disease_998,0
food_0,disease_861,0
food_0,disease_559,0
food_0,disease_841,0
food_0,disease_81,0
food_0,disease_201,0
food_0,disease_839,0
food_0,disease_78,0
food_0,disease_1099,0
food_0,disease_176,0
food_0,disease_50,0
food_0,disease_182,0
food_0,disease_290,0
food_0,disease_1273,0
food_0,disease_1370,0
food_0,disease_681,0
food_0,disease_1191,0
food_0,disease_727,0
food_0,disease_629,0
food_0,disease_11,0
food_0,disease_419,0
food_0,disease_1021,0
food_0,disease_1078,0
food_0,disease_1026,0
food_0,disease_305,0
food_0,disease_606,0
food_0,disease_27,0
food_0,disease_1015,0
food_0,disease_1058,0
food_0,disease_128,0
food_0,disease_1236,0
food_0,disease_155,1
food_0,disease_1433,0
food_0,disease_557,0
food_0,disease_1406,1
food_0,disease_1264,0
food_0,disease_263,0
food_0,disease_1203,0
food_0,disease_1084,0
food_0,disease_741,0
food_0,disease_983,1
food_0,disease_512,0
food_0,disease_502,0
food_0,disease_1324,0
food_0,disease_515,0
food_0,disease_1284,0
food_0,disease_798,1
food_0,disease_208,0
food_0,disease_499,0
food_0,disease_1336,0
food_0,disease_77,0
food_0,disease_920,0
food_0,disease_1193,0
food_0,disease_1373,0
food_0,disease_600,0
food_0,disease_789,0
food_0,disease_388,0
food_0,disease_1190,1
food_0,disease_1009,0
food_0,disease_971,0
food_0,disease_1228,0
food_0,disease_955,0
food_0,disease_79,0
food_0,disease_314,0
food_0,disease_709,0
food_0,disease_271,0
food_0,disease_767,0
food_0,disease_790,0
food_0,disease_1077,1
food_0,disease_622,0
food_0,disease_125,0
food_0,disease_1071,0
food_0,disease_20,0
food_0,disease_1201,0
food_0,disease_847,0
food_0,disease_967,0
food_0,disease_353,0
food_0,disease_472,0
food_0,disease_341,0
food_0,disease_169,0
food_0,disease_60,0
food_0,disease_319,0
food_0,disease_573,0
food_0,disease_323,0
food_0,disease_30,0
food_0,disease_292,0
food_0,disease_173,0
food_0,disease_760,0
food_0,disease_1118,0
food_0,disease_399,0
food_0,disease_1143,0
food_0,disease_1364,0
food_0,disease_309,0
food_0,disease_327,0
food_0,disease_407,0
food_0,disease_725,0
food_0,disease_1005,0
food_0,disease_1206,0
food_0,disease_1425,0
food_0,disease_186,0
food_0,disease_289,0
food_0,disease_984,1
food_0,disease_252,0
food_0,disease_434,1
food_0,disease_375,1
food_0,disease_962,0
food_0,disease_1167,0
food_0,disease_202,0
food_0,disease_794,0
food_0,disease_244,0
food_0,disease_1388,0
food_0,disease_774,0
food_0,disease_1391,0
food_0,disease_58,0
food_0,disease_889,0
food_0,disease_453,0
food_0,disease_1076,0
